Name,Rating,Origin,Roast Level,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,Review
El Salvador Finca Plan de Hoyo,93,"Apaneca growing region, El Salvador",Light,9,9,8,9,8,"A balanced, high-toned, cocoa-driven washed El Salvador with complex citrus and gently spice tones."
Finca Retana,93,"Antigua Department, Guatemala",Medium-Light,9,9,8,9,8,"A deeply floral, richly chocolaty Guatemala cup complicated by sweet nut and resonant aromatic wood notes."
Finca San Ramón,92,"San Juan Sacatepequez, Sacatepequez Department, Guatemala",Medium-Light,8,9,8,9,8,"A bright, balanced, juicy Guatemala Geisha Malawi, a rare and ancient variety of Arabica worth seeking out for its novelty and vividness."
Todos Santos Cuchumatanán Pacamara,92,"Todos Santos Cuchumatán, Huehuetenango Department, Guatemala",Medium-Light,8,8,9,9,8,"A sweetly nut-toned, gently floral Guatemala Pacamara with especially inviting, viscous mouthfeel."
Finca Huixoc Pacamara,91,"La Democracia, Huehuetenango Department, Guatemala",Medium-Light,8,8,8,9,8,"A friendly, accessible Guatemala Pacamara, crisply chocolaty with spice-toned florals and rich aromatic wood throughlines."
5a Poniente,91,"Antigua Department, Guatemala",Medium,8,8,8,9,8,"A deep-toned, chocolaty, roast-rounded Guatemala cup with undertones of spice-laden florals."
5a Sur,91,"Antigua Department, Guatemala",Medium,9,8,8,9,7,"A chocolaty, spice-toned Guatemala with an aromatic wood throughline (think fresh-cut fir)."
Guatemala El Socorro Natural,91,"Palencia, Guatemala Department, Guatemala",Medium-Light,8,8,8,9,8,"A friendly, easygoing Guatemala Pacamara natural with berry notes front and center and a crisp chocolate throughline."
Costa Rica Rivense Finca El Mango Honey Process,94,"Chirripo, Brunca growing region, Costa Rica",Light,9,9,9,9,8,"A complex, multi-layered Costa Rica honey, berry-driven, chocolaty and harmoniously balanced — and an amazing value."
Ethiopia Ardi Yeast Natural,93,"Guji Zone, Oromia region, southern Ethiopia",Light,9,8,9,9,8,"A pretty Ethiopia natural fermented with a yeast mixture that amplifies gentle, sweet-tart fruit notes alongside sweet herbs."
Costa Rica Los Santos Hacienda La Minita,93,"Los Santos, Tarrazú, Costa Rica",Light,9,9,8,9,8,"A harmonious, inviting Costa Rica cup, chocolaty and rich, with sweet fruit and floral notes."
Ethiopia Guji Buku Sayisa Natural,93,"Guji Zone, Oromia region, southern Ethiopia",Light,9,8,9,9,8,"A nuanced, exceptionally sweet natural-processed Ethiopia grounded by cocoa nib and almond tones."
Ethiopia Guji First Passion Natural G1,93,"Guji Zone, Oromia region, southern Ethiopia",Medium-Light,9,8,9,9,8,"A rich, juicy, full-bodied natural-processed Guji with tart fruit and sweet herb notes throughout."
Ethiopia Sidama Blossom Peak Washed G1,93,"Sidamo growing region, southern Ethiopia",Light,9,9,8,9,8,"A classic washed Ethiopia profile — brightly sweet, delicately tart, juicy and balanced."
Tanzania AB Nsoga Iweyza,93,"Mbeya, Tanzania",Medium-Light,9,9,8,9,8,"At $14.00 for 12 ounces, this might be the bargain of the year. This classic washed Tanzania is sweet, savory, multi-layered and rich."
Uganda Sironko Station Natural,92,"Bugisu Region, Uganda",Light,9,8,8,9,8,"An interestingly composed Uganda natural with rich sweetness, distinct tartness, and a throughline of crisp chocolate, and a bittersweet, caraway-like note."
Bolivia San Lorenzo,92,"San Lorenzo, Caranavi Province, La Paz Department, Bolivia",Light,9,8,8,9,8,"A sweetly savory, crisply chocolaty Bolivia natural complicated by spice-toned florals and sweet herb notes."
Rwanda Nyamasheke “Ireme” Anaerobic,92,"Nyamasheke, Western Province, Rwanda",Medium-Light,8,8,9,9,8,"An anaerobic Rwanda with tart, tangy fruit up front, supported by notes of dark chocolate and rich aromatic wood."
Ethiopia Yirgacheffe Biloya Anaerobic,92,"Yirgacheffe growing region, south-central Ethiopia",Light,8,8,8,9,9,"A crisply berry-forward, chocolaty anaerobic natural Ethiopia with intriguing savory-tangy undertones."
Colombia Water Process Decaf,91,Colombia,Medium-Light,8,8,8,9,8,"A bargain of a daily-drinking decaf (you wouldn’t really know it’s a decaf — crisply chocolaty, richly nutty with nice citrus notes."
1994 Blend,91,Ethiopia,Medium-Light,8,8,9,9,7,A nice daily drinker with deep chocolate and sweetly tart berry notes throughout the profile — and a relative bargain at $22.50 for a full pound.
El Salvador Unicorn,94,"El Bálsamo Quetzaltepec, El Salvador",Medium-Light,9,9,9,9,8,"A lush, floral-toned, richly fruit-forward, complex and intriguing El Salvador natural."
